NGC_BMU_ID,BMGROUP_NAME,SETT_BMU_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,X
CLDSW-1,Clyde South Wind Farm,T_CLDSW-1,,,,,,6,7,8,9,,11,,,,,16,,
CLFLW-1,Clachan Flats Wind Farm,E_CLFLW-1,,,3,4,5,6,7,8,9,,11,,,,,16,,
CMSTW-1,Camster Wind Farm,2_PPGEN003,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CNCLW-1,Coire Na Cloiche WF,E_CNCLW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CNQPS-1,Connah's Quay,T_CNQPS-1,,,,,,,,8,9,,,,,,,,,
CNQPS-2,Connah's Quay,T_CNQPS-2,,,,,,,,8,9,,,,,,,,,
CNQPS-3,Connah's Quay,T_CNQPS-3,,,,,,,,8,9,,,,,,,,,
CNQPS-4,Connah's Quay,T_CNQPS-4,,,,,,,,8,9,,,,,,,,,
CORB-1,Corby,E_CORB-1,,,,,,,,,,,,,,,,,,X
COSO-1,Coryton Energy Centre,T_COSO-1,,,,,,,,,,,,,,,15,,,
COUWW-1,Cour Wind Farm,T_COUWW-1,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
COWE1,Cowes,E_COWE1,,,,,,,,,,10,,12,,,,,,
COWE2,Cowes,E_COWE2,,,,,,,,,,10,,12,,,,,,
CRDEW-1,Crossdykes Wind Farm,E_CRDEW-1,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
CRDEW-2,Crossdykes Wind Farm,E_CRDEW-2,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
CRGHW-1,Carraig Gheal Wind Farm,T_CRGHW-1,,,,4,5,6,7,8,9,,11,,,,,16,,
CRMHW-1,Cruach Mhor Farm,,,,,4,5,6,7,8,9,,11,,,,,16,,
CRMLW-1,Corrimoillie W/F,T_CRMLW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CRMNW-1,Corrimony Wind Farm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
CRUA-1,Cruachan,T_CRUA-1,,,,4,5,6,7,8,9,,11,,,,,16,,
CRUA-2,Cruachan,T_CRUA-2,,,,4,5,6,7,8,9,,11,,,,,16,,
CRUA-3,Cruachan,T_CRUA-3,,,,4,5,6,7,8,9,,11,,,,,16,,
CRUA-4,Cruachan,T_CRUA-4,,,,4,5,6,7,8,9,,11,,,,,16,,
CRYRW-1,Crystal Rig Wind Farm,,,,,,,6,7,8,9,,11,,,,,16,,
CRYRW-2,Crystal Rig II,T_CRYRW-2,,,,,,6,7,8,9,,11,,,,,16,,
CRYRW-3,Crystal Rig II,T_CRYRW-3,,,,,,6,7,8,9,,11,,,,,16,,
DALSW-1,Dalswinton,E_DALSW-1,,,,,,6,7,8,9,,11,,,,,16,,
DAMC-1,Damhead Creek,T_DAMC-1,,,,,,,,,,,,,,,15,,,
DDGNO-1,Dudgeon Offshore Wind Farm,T_DDGNO-1,,,,,,,,,,,,,,,,,,X
DDGNO-2,Dudgeon Offshore Wind Farm,T_DDGNO-2,,,,,,,,,,,,,,,,,,X
DDGNO-3,Dudgeon Offshore Wind Farm,T_DDGNO-3,,,,,,,,,,,,,,,,,,X
DDGNO-4,Dudgeon Offshore Wind Farm,T_DDGNO-4,,,,,,,,,,,,,,,,,,X
DEEP-1,Deeside,T_DEEP-1,,,,,,,,8,9,,,,,,,,,
DEUCW-1,Deucheran Hill Wind,,,,3,4,5,6,7,8,9,,11,,,,,16,,
DIDC01G,Didcot A,E_DIDC01G,,,,,,,,,,,,12,,,,,,
DIDC02G,Didcot A,E_DIDC02G,,,,,,,,,,,,12,,,,,,
DIDC03G,Didcot A,E_DIDC03G,,,,,,,,,,,,12,,,,,,
DIDC04G,Didcot A,E_DIDC04G,,,,,,,,,,,,12,,,,,,
DIDCB5,Didcot B,T_DIDCB5,,,,,,,,,,,,12,,,,,,
DIDCB6,Didcot B,T_DIDCB6,,,,,,,,,,,,12,,,,,,
DINO-1,Dinorwig,T_DINO-1,,,,,,,,8,9,,,,,,,,,
DINO-2,Dinorwig,T_DINO-2,,,,,,,,8,9,,,,,,,,,
DINO-3,Dinorwig,T_DINO-3,,,,,,,,8,9,,,,,,,,,
DINO-4,Dinorwig,T_DINO-4,,,,,,,,8,9,,,,,,,,,
DINO-5,Dinorwig,T_DINO-5,,,,,,,,8,9,,,,,,,,,
DINO-6,Dinorwig,T_DINO-6,,,,,,,,8,9,,,,,,,,,
DNBAR-1,Dunbar Biomass,2__NSMAR001,,,,,,6,7,8,9,,11,,,,,16,,
DNGB21,Dungeness B,T_DNGB21,,,,,,,,,,,,,,,15,,,
DNGB22,Dungeness B,T_DNGB22,,,,,,,,,,,,,,,15,,,
DNLWW-1,Dunlaw Wind Farm,T_DNLWW-1,,,,,,6,7,8,9,,11,,,,,16,,
DOREW-1,Dorenell WF,T_DOREW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
DOREW-2,Dorenell WF,T_DOREW-2,1,2,,4,5,6,7,8,9,,11,,,,,16,,
DRAXX-1,Drax,T_DRAXX-1,,,,,,,,8,9,,11,,,,,16,,
DRAXX-10G,Drax,T_DRAXX-10G,,,,,,,,8,9,,11,,,,,16,,
DRAXX-12G,Drax,T_DRAXX-12G,,,,,,,,8,9,,11,,,,,16,,
DRAXX-2,Drax,T_DRAXX-2,,,,,,,,8,9,,11,,,,,16,,
DRAXX-3,Drax,T_DRAXX-3,,,,,,,,8,9,,11,,,,,16,,
DRAXX-4,Drax,T_DRAXX-4,,,,,,,,8,9,,11,,,,,16,,
DRAXX-5,Drax,T_DRAXX-5,,,,,,,,8,9,,11,,,,,16,,
DRAXX-6,Drax,T_DRAXX-6,,,,,,,,8,9,,11,,,,,16,,
DRAXX-9G,Drax,T_DRAXX-9G,,,,,,,,8,9,,11,,,,,16,,
DRDGW-1,Drumderg Wind Farm,,,,,4,5,6,7,8,9,,11,,,,,16,,
DRSLW-1,Dersalloch Wind Farm,T_DRSLW-1,,,,,,6,7,8,9,,11,,,,,16,,
DUMMW-1,Dummuies Windfarm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
DUNGW-1,Dunmaglass Wind Farm,T_DUNGW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
EAAO-1,East Anglia One,T_EAAO-1,,,,,,,,,,,,,,,,,,X
EAAO-2,East Anglia One,T_EAAO-2,,,,,,,,,,,,,,,,,,X
EARBW-1,Earlsburn,,1,,,4,5,6,7,8,9,,11,,,,,16,,
EDINW-1,Edinbane Windfarm,T_EDINW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
EDTRW-1,Edintore Wind Farm Limited,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
EECL-1,Enfield Energy Centre,T_EECL-1,,,,,,,,,,,,,,14,,,,
ERRO-1,Errochty,T_ERRO-1,,,,4,5,6,7,8,9,,11,,,,,16,,
ERRO-2,Errochty,T_ERRO-2,,,,4,5,6,7,8,9,,11,,,,,16,,
ERRO-3,Errochty,T_ERRO-3,,,,4,5,6,7,8,9,,11,,,,,16,,
EWHLW-1,Ewe Hill Wind Farm,T_EWHLW-1,,,,,,6,7,8,9,,11,,,,,16,,
FAARW-1,Farr Windfarm,T_FARR-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FAARW-2,Farr Windfarm,T_FARR-2,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FALGW-1,Fallago Wind Farm,T_FALGW-1,,,,,,,7,8,9,,11,,,,,16,,
FASN-1,Fasnakyle,T_FASN-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FASN-4,Fasnakyle,E_FASN-4,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FASN2,Fasnakyle,T_FASN-2,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FASN3,Fasnakyle,E_FASN-3,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FAWN-1,Fawley North,E_FAWN-1,,,,,,,,,,10,,12,,,,,,
FELL-1,Fellside,E_FELL-1,,,,,,,,8,9,,,,,,,,,
FFES-1,Ffestiniog,T_FFES-1,,,,,,,,8,9,,,,,,,,,
FFES-2,Ffestiniog,T_FFES-2,,,,,,,,8,9,,,,,,,,,
FFES-3,Ffestiniog,T_FFES-3,,,,,,,,8,9,,,,,,,,,
FFES-4,Ffestiniog,T_FFES-4,,,,,,,,8,9,,,,,,,,,
FINL-1,Finlarig,T_FINL-1,,,,4,5,6,7,8,9,,11,,,,,16,,
FOYE-1,Foyers,T_FOYE-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FOYE-2,Foyers,T_FOYE-2,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FRBRW-1,Fairburn Wind Farm,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
FSDLW-1,Freasdail,T_FSDLW-1,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
GAOFO-1,Galloper Wind Farm,T_GANW-11,,,,,,,,,,,,,,,,,,X
GAOFO-2,Galloper Wind Farm,T_GANW-22,,,,,,,,,,,,,,,,,,X
GAOFO-3,Galloper Wind Farm,T_GANW-13,,,,,,,,,,,,,,,,,,X
GAOFO-4,Galloper Wind Farm,T_GANW-24,,,,,,,,,,,,,,,,,,X
GDSTW-1,Gordonstown  Wind Farm,E_GDSTW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
GLCHW-1,Glenchamber Wind Farm,E_GLCHW-1,,,,,,6,7,8,9,,11,,,,,16,,
GLNDO-1,Glendoe Hydro,T_GLNDO-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
GLOFW-1,Glens of Foudland,E_GLOFW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
GLWSW-1,Galawhistle Wind Farm,T_GLWSW-1,,,,,,6,7,8,9,,11,,,,,16,,
GNAPW-1,Glen App WindFarm,T_GNAPW-1,,,,,,6,7,8,9,,11,,,,,16,,
GNFSW-1,Gunfleet Sands,T_GNFSW-1,,,,,,,,,,,,,,,,,,X
GNFSW-2,Gunfleet Sands,E_GNFSW-2,,,,,,,,,,,,,,,,,,X
GORDW-1,Gordon Bush Wind Farm,T_GORDW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
GORDW-2,Gordon Bush Wind Farm,T_GORDW-2,1,2,,4,5,6,7,8,9,,11,,,,,16,,
GRAI-6,Grain,T_GRAI-6,,,,,,,,,,,,,,,15,,,
GRAI-7,Grain,T_GRAI-7,,,,,,,,,,,,,,,15,,,
GRAI-8,Grain,T_GRAI-8,,,,,,,,,,,,,,,15,,,
GRAI1G,Grain,T_GRAI1G,,,,,,,,,,,,,,,15,,,
GRAI4G,Grain,T_GRAI4G,,,,,,,,,,,,,,,15,,,
GRGBW-1,Greater Gabbard,T_GRGBW-1,,,,,,,,,,,,,,,,,,X
GRGBW-2,Greater Gabbard,T_GRGBW-2,,,,,,,,,,,,,,,,,,X
GRGBW-3,Greater Gabbard,T_GRGBW-3,,,,,,,,,,,,,,,,,,X
GRIFW-1,Griffin Windfarm,T_GRIFW-1,,,,4,5,6,7,8,9,,11,,,,,16,,
GRIFW-2,Griffin Windfarm,T_GRIFW-2,,,,4,5,6,7,8,9,,11,,,,,16,,
GRMO-1,Grangemouth,T_GRMO-1,,,,,,6,7,8,9,,11,,,,,16,,
GRUB-1,Grudie Bridge,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
GRUB-2,Grudie Bridge,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
GYAR-1,Great Yarmouth,E_GYAR-1,,,,,,,,,,,,,,,,,,X
GYMRO-15,Gwynt Y Mor,T_GYMR-15,,,,,,,,8,9,,,,,,,,,
GYMRO-17,Gwynt Y Mor,T_GYMR-17,,,,,,,,8,9,,,,,,,,,
GYMRO-26,Gwynt Y Mor,T_GYMR-26,,,,,,,,8,9,,,,,,,,,
GYMRO-28,Gwynt Y Mor,T_GYMR-28,,,,,,,,8,9,,,,,,,,,
HADHW-1,Hadyard Hill Windfarm,T_HADHW-1,,,,,,6,7,8,9,,11,,,,,16,,
HALSW-1,Halsary Wind Farm,T_HALSW-1,1,2,3,4,5,6,7,8,9,,11,,,,,16,,
HAWFW-1,Hagshaw Hill Wind Farm,,,,,4,5,6,7,8,9,,11,,,,,16,,
HBHDW-1,Harburnhead Wind Farm,E_HBHDW-1,,,,,,6,7,8,9,,11,,,,,16,,
HEYM11,Heysham 1,T_HEYM11,,,,,,,,8,9,,,,,,,,,
HEYM12,Heysham 1,T_HEYM12,,,,,,,,8,9,,,,,,,,,
HEYM27,Heysham 2,T_HEYM27,,,,,,,,8,9,,,,,,,,,
HEYM28,Heysham 2,T_HEYM28,,,,,,,,8,9,,,,,,,,,
HINB-7,Hinkley Point B,T_HINB-7,,,,,,,,,,10,,12,13,,,,,
HINB-8,Hinkley Point B,T_HINB-8,,,,,,,,,,10,,12,13,,,,,
HLGLW-1,Hill of Glaschyle,E_HLGLW-1,1,,,4,5,6,7,8,9,,11,,,,,16,,
HLTWW-1,Hill of Towie Wind Farm,E_HLTWW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
HMGTO-1,Humber Gateway Offshore Wind Farm,T_HMGTO-1,,,,,,,,8,9,,11,,,,,16,,
HMGTO-2,Humber Gateway Offshore Wind Farm,T_HMGTO-2,,,,,,,,8,9,,11,,,,,16,,
HOWAO-1,Hornsea Offshore W/F,T_HOWAO-1,,,,,,,,8,9,,11,,,,,16,,
HOWAO-2,Hornsea Offshore W/F,T_HOWAO-2,,,,,,,,8,9,,11,,,,,16,,
HOWAO-3,Hornsea Offshore W/F,T_HOWAO-3,,,,,,,,8,9,,11,,,,,16,,
HRHLW-1,Hare Hill Ext Wind Farm,E_HRHLW-1,,,,,,6,7,8,9,,11,,,,,16,,
HRSTW-1,Harestanes Wind Farm,T_HRSTW-1,,,,,,6,7,8,9,,11,,,,,16,,
HRTL-1,Hartlepool,T_HRTL-1,,,,,,,7,8,9,,11,,,,,16,,
HRTL-2,Hartlepool,T_HRTL-2,,,,,,,7,8,9,,11,,,,,16,,
HUMR-1,Immingham CHP LLP,T_HUMR-1,,,,,,,,8,9,,11,,,,,16,,
HUNB-7,Hunterston,T_HUNB-7,,,,,,6,7,8,9,,11,,,,,16,,
HUNB-8,Hunterston,T_HUNB-8,,,,,,6,7,8,9,,11,,,,,16,,
HYWDW-1,Hywind Wind Farm,E_HYWDW-1,,2,,4,5,6,7,8,9,,11,,,,,16,,
INAW-1,Inverawe,,,,3,4,5,6,7,8,9,,11,,,,,16,,
INDQ-1,Indian Queens,T_INDQ-1,,,,,,,,,,10,,12,13,,,,,
JGPR-1,JG Pears Power Limited,T_JGPR-1,,,,,,,,,9,,,,,,,16,,
KEAD-1,Keadby,T_KEAD-1,,,,,,,,8,9,,11,,,,,16,,
KEAD-2,Keadby,T_KEAD-2,,,,,,,,8,9,,11,,,,,16,,
KEADGT-3,Keadby,T_KEADGT-3,,,,,,,,8,9,,11,,,,,16,,
KILBW-1,Kilbraur Wind Farm,T_KILBW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
KILLPG-1,Killingholme (PG),T_KILLPG-1,,,,,,,,8,9,,11,,,,,16,,
KILLPG-2,Killingholme (PG),T_KILLPG-2,,,,,,,,8,9,,11,,,,,16,,
KILNS-1,Killingholme Control Point,T_KILNS-1,,,,,,,,8,9,,11,,,,,16,,
KINCW-1,Kincardine Offshore Wind Farm,E_KINCW-1,,2,,4,5,6,7,8,9,,11,,,,,16,,
KLDMW-1,Kildrummy Wind Farm,,,2,,4,5,6,7,8,9,,11,,,,,16,,
KLGLW-1,Kilgallioch Wind Farm,T_KLGLW-1,,,,,,6,7,8,9,,11,,,,,16,,
KLYN-A-1,Kings Lynn,E_KLYN-A-1,,,,,,,,,,,,,,,,,,X
KPMRW-1,Kype Muir Wind Farm,T_KPMRW-1,,,,4,5,6,7,8,9,,11,,,,,16,,
KTHLW-1,Keith Hill Wind Farm,T_KTHLW-1,,,,,,6,7,8,9,,11,,,,,16,,
LAGA-1,Langage Power Station,T_LAGA-1,,,,,,,,,,10,,12,13,,,,,
LARYO-1,London Array Wind Farm,T_LARYW-1,,,,,,,,,,,,,,,15,,,
LARYO-2,London Array Wind Farm,T_LARYW-2,,,,,,,,,,,,,,,15,,,
LARYO-3,London Array Wind Farm,T_LARYW-3,,,,,,,,,,,,,,,15,,,
LARYO-4,London Array Wind Farm,T_LARYW-4,,,,,,,,,,,,,,,15,,,
LBAR-1,Little Barford,T_LBAR-1,,,,,,,,,,,,,,,,,,X
LBAR-1G,Little Barford,T_LBAR-1G,,,,,,,,,,,,,,,,,,X
LCLTW-1,Lochluichart,T_LCLTW-1,1,2,,4,5,6,7,8,9,,11,,,,,16,,
LCSMH-1,SIMEC Lochaber Hydro,,1,2,,4,5,6,7,8,9,,11,,,,,16,,
LGPKW-1,Longpark Wind Farm,,,,,,,6,7,8,9,,11,,,,,16,,
LNCSO-1,Lincs Wind Farm,T_LNCSW-1,,,,,,,,,,,,,,,,,,X
LNCSO-2,Lincs Wind Farm,T_LNCSW-2,,,,,,,,,,,,,,,,,,X
LNMTH-1,Lynemouth P/S,E_LYNE1,,,,,,,7,8,9,,11,,,,,16,,
LNMTH-2,Lynemouth P/S,E_LYNE2,,,,,,,7,8,9,,11,,,,,16,,
LNMTH-3,Lynemouth P/S,E_LYNE3,,,,,,,7,8,9,,11,,,,,16,,
